F641;"Municipal and City Level Small Area Poverty Estimates;  2018 and 2021";;;;;;;;;
PSGC;Region/Province;Municipality/City;Poverty Incidence;;Coefficient of Variation;;90% Confidence Interval;;;
;;;;;;;;;;
;;;2018;2021;2018;2021;2018;;2021;
ID;;;;;;;Lower Limit;Upper Limit;Lower Limit;Upper Limit
;National Capital Region (NCR);;;;;;;;;
72222;;Dalaguete;25,2;45,0;7,5;6,3;22,1;28,3;40,4;49,7
72223;;Danao City;14,3;29,6;7,8;8,3;12,5;16,1;25,6;33,6
72224;;Dumanjug;22,3;37,9;7,5;8,0;19,5;25,1;32,9;42,9
72225;;Ginatilan;19,8;41,7;13,8;10,1;15,4;24,2;34,8;48,7
72227;;Liloan;7,2;18,8;19,3;16,8;4,9;9,5;13,6;24,0
72228;;Madridejos;19,5;34,4;12,6;9,3;15,4;23,6;29,1;39,7
72229;;Malabuyoc;27,0;50,4;10,9;8,6;22,2;31,8;43,3;57,5
72231;;Medellin;20,2;39,1;9,7;8,4;16,9;23,5;33,7;44,5
72232;;Minglanilla;7,7;17,5;17,3;11,7;5,6;9,8;14,1;20,9
72233;;Moalboal;16,9;33,5;14,1;11,4;13,0;20,9;27,2;39,7
72234;;City of Naga;15,3;26,0;10,4;7,9;12,7;17,9;22,6;29,4
72235;;Oslob;22,6;42,8;9,2;8,0;19,2;26,1;37,2;48,4
72236;;Pilar;23,5;45,3;13,2;9,8;18,4;28,6;38,0;52,7
72237;;Pinamungahan;24,0;36,5;9,1;8,5;20,4;27,6;31,4;41,6
72238;;Poro;21,0;44,6;11,5;8,8;17,1;25,0;38,2;51,0
72239;;Ronda;21,2;39,0;11,4;9,9;17,3;25,2;32,6;45,3
72240;;Samboan;21,6;44,4;10,8;9,6;17,8;25,4;37,3;51,4
72241;;San Fernando;15,0;28,2;11,6;9,8;12,2;17,8;23,7;32,7
72242;;San Francisco;31,7;54,3;9,7;5,5;26,6;36,8;49,4;59,2
72243;;San Remigio;15,9;35,1;11,8;7,9;12,8;19,0;30,6;39,7
72244;;Santa Fe;24,9;40,8;12,3;9,9;19,8;30,0;34,2;47,5
72245;;Santander;18,7;35,1;14,4;11,8;14,3;23,1;28,3;42,0
72246;;Sibonga;18,6;40,6;8,8;7,4;16,0;21,2;35,7;45,6
72247;;Sogod;19,2;37,1;12,2;9,5;15,4;23,0;31,3;42,9
72248;;Tabogon;21,5;37,6;10,0;7,9;18,1;25,0;32,7;42,5
72249;;Tabuelan;22,2;44,6;12,7;10,9;17,6;26,8;36,6;52,6
72250;;City of Talisay;8,2;19,2;12,3;10,2;6,6;9,9;16,0;22,4
72251;;City of Toledo;17,2;32,4;8,7;6,8;14,7;19,7;28,8;36,0
72252;;Tuburan;24,4;44,5;7,2;6,1;21,4;27,4;40,0;49,0
72253;;Tudela;19,7;35,8;18,1;12,2;13,8;25,6;28,6;43,0
74601;Negros Oriental;Amlan;12,7;21,1;20,6;18,7;8,4;17,0;14,6;27,6
74602;;Ayungon;30,5;38,4;8,5;6,7;26,2;34,8;34,2;42,6
74603;;Bacong;13,9;15,9;13,0;15,0;10,9;16,9;12,0;19,9
74604;;City of Bais;22,8;30,9;9,0;7,8;19,4;26,3;26,9;34,9
74605;;Basay;29,1;40,1;13,0;11,4;22,9;35,4;32,6;47,7
74606;;City of Bayawan;29,5;33,7;8,5;7,8;25,4;33,6;29,4;38,0
74607;;Bindoy;37,8;38,7;9,2;10,4;32,0;43,6;32,1;45,4
74608;;City of Canlaon;23,6;29,3;12,6;9,2;18,7;28,5;24,8;33,7
74609;;Dauin;17,5;24,0;11,0;10,5;14,4;20,6;19,8;28,1
74610;;City of Dumaguete;3,2;7,7;21,2;13,9;2,1;4,4;6,0;9,5
74611;;City of Guihulngan;31,7;39,4;7,8;7,2;27,6;35,8;34,8;44,1
74612;;Jimalalud;33,3;41,5;7,8;8,0;29,0;37,6;36,0;47,1
74613;;La Libertad;31,4;38,8;8,6;7,9;27,0;35,8;33,8;43,8
74614;;Mabinay;32,7;30,3;8,3;7,9;28,3;37,1;26,3;34,2
74615;;Manjuyod;25,1;29,0;9,3;8,9;21,3;28,9;24,8;33,3
74616;;Pamplona;25,6;28,9;8,9;12,3;21,8;29,4;23,1;34,8
74617;;San Jose;17,1;20,4;12,9;13,8;13,5;20,7;15,7;25,0
74618;;Santa Catalina;28,6;32,2;10,0;8,8;23,8;33,4;27,6;36,9
74619;;Siaton;30,7;37,9;8,0;7,3;26,8;34,7;33,3;42,4
74620;;Sibulan;10,9;13,4;13,7;13,1;8,4;13,4;10,5;16,3
74621;;City of Tanjay;18,9;26,0;9,4;7,4;15,9;21,9;22,9;29,2
74622;;Tayasan;29,2;36,8;7,8;7,8;25,4;33,0;32,1;41,5
74623;;Valencia;13,0;15,6;11,1;11,7;10,5;15,5;12,6;18,6
74624;;Vallehermoso;32,3;39,4;10,5;7,6;26,7;37,9;34,5;44,3
74625;;Zamboanguita;17,5;28,2;18,2;13,4;12,2;22,8;22,0;34,4
76101;Siquijor;Enrique Villanueva;14,4;9,0;13,7;22,7;11,1;17,7;5,7;12,4
76102;;Larena;9,5;6,5;12,1;16,8;7,7;11,3;4,7;8,2
76103;;Lazi;20,3;9,4;12,6;16,4;16,0;24,6;6,9;11,9
76104;;Maria;24,9;9,6;8,8;15,4;21,3;28,5;7,1;12,0
76105;;San Juan;13,0;7,7;17,2;17,0;9,4;16,6;5,5;9,8
76106;;Siquijor;13,1;5,7;10,4;12,8;10,8;15,4;4,5;6,9
;Region VIII (Eastern Visayas);;;;;;;;;
82601;Eastern Samar;Arteche;58,7;49,0;5,0;6,4;53,9;63,5;43,8;54,2
82602;;Balangiga;50,1;35,9;6,5;10,9;44,7;55,4;29,5;42,4
82603;;Balangkayan;50,4;38,9;6,6;10,0;45,0;55,9;32,5;45,3
82604;;City of Borongan;37,4;26,5;4,6;7,1;34,6;40,3;23,4;29,6
82605;;Can-avid;52,2;35,5;3,9;7,7;48,8;55,6;31,0;40,0
82606;;Dolores;55,3;40,9;3,8;7,0;51,9;58,8;36,2;45,6
82607;;General MacArthur;58,0;43,2;4,2;7,5;53,9;62,0;37,9;48,5
82608;;Giporlos;51,6;41,7;5,4;7,8;47,0;56,1;36,3;47,1
82609;;Guiuan;43,4;35,2;4,0;6,7;40,5;46,2;31,4;39,1
82610;;Hernani;49,7;38,7;7,2;10,5;43,8;55,6;32,0;45,4
82611;;Jipapad;65,5;51,9;5,0;9,3;60,1;70,8;44,0;59,9
82612;;Lawaan;46,6;35,2;7,0;7,9;41,2;52,0;30,6;39,8
82613;;Llorente;51,8;38,7;4,6;8,2;47,9;55,7;33,5;43,9
82614;;Maslog;73,4;50,1;5,7;11,6;66,6;80,3;40,6;59,6
82615;;Maydolong;46,4;33,2;6,2;9,9;41,7;51,1;27,8;38,6
82616;;Mercedes;37,9;33,2;6,7;9,5;33,8;42,1;28,1;38,4
82617;;Oras;55,2;39,7;3,6;7,6;51,9;58,5;34,7;44,6
82618;;Quinapondan;51,3;42,0;4,5;7,6;47,5;55,0;36,8;47,2
82619;;Salcedo;44,9;37,2;4,7;8,3;41,4;48,4;32,1;42,3
82620;;San Julian;48,4;36,3;6,7;10,5;43,1;53,7;30,0;42,6
82621;;San Policarpo;55,8;41,2;6,0;9,9;50,4;61,3;34,5;48,0
82622;;Sulat;45,6;31,4;6,1;11,1;41,0;50,1;25,7;37,1
82623;;Taft;47,6;38,7;5,4;6,9;43,4;51,8;34,3;43,1
83701;Leyte;Abuyog;28,2;27,8;6,3;7,0;25,3;31,1;24,6;31,0
83702;;Alangalang;31,1;30,7;6,5;7,3;27,7;34,4;27,0;34,4
83703;;Albuera;27,2;29,1;12,5;11,4;21,6;32,8;23,7;34,6
83705;;Babatngon;33,1;34,3;8,2;9,9;28,6;37,6;28,7;39,9
83706;;Barugo;26,5;27,0;7,9;8,3;23,1;29,9;23,3;30,6
83707;;Bato;29,2;31,5;8,5;7,5;25,1;33,2;27,6;35,4
83708;;City of Baybay;22,8;26,0;6,9;5,9;20,2;25,4;23,5;28,6
83710;;Burauen;27,8;28,2;5,8;7,3;25,2;30,4;24,8;31,6
83713;;Calubian;29,4;31,5;6,6;6,7;26,1;32,6;28,0;34,9
83714;;Capoocan;32,9;34,5;9,1;9,4;27,9;37,8;29,1;39,8
83715;;Carigara;25,0;26,5;6,7;8,1;22,2;27,8;23,0;30,1
83717;;Dagami;33,7;31,2;5,4;6,5;30,7;36,7;27,9;34,6
83718;;Dulag;24,6;27,6;7,4;7,3;21,6;27,6;24,2;30,9
83719;;Hilongos;26,1;29,8;7,3;7,0;22,9;29,2;26,4;33,2
83720;;Hindang;23,6;28,3;11,0;10,3;19,4;27,9;23,5;33,2
83721;;Inopacan;26,2;29,1;11,3;10,1;21,3;31,0;24,2;33,9
83722;;Isabel;17,8;24,3;12,0;12,2;14,3;21,3;19,5;29,2
83723;;Jaro;31,6;30,6;6,0;8,1;28,5;34,7;26,5;34,7
83724;;Javier (Bugho);30,7;29,2;8,0;8,1;26,7;34,7;25,3;33,1
83725;;Julita;28,4;32,1;8,9;8,4;24,2;32,5;27,7;36,6
83726;;Kananga;31,1;34,7;8,9;8,2;26,5;35,6;30,0;39,4
83728;;Lapaz;31,6;32,1;7,8;7,7;27,6;35,7;28,0;36,1
83729;;Leyte;36,9;38,4;7,6;7,0;32,3;41,6;34,0;42,9
83730;;MacArthur;29,6;30,0;8,2;8,7;25,7;33,6;25,7;34,3
83731;;Mahaplag;31,9;34,7;8,6;9,7;27,3;36,4;29,1;40,2
83733;;Matag-ob;29,2;32,8;9,6;11,0;24,6;33,8;26,9;38,8
83734;;Matalom;26,5;28,9;8,0;8,2;23,0;30,0;25,0;32,8
83735;;Mayorga;29,6;31,1;10,1;10,3;24,6;34,5;25,8;36,3
83736;;Merida;23,0;30,3;12,2;10,3;18,4;27,6;25,2;35,4
83738;;Ormoc City;22,1;25,5;7,3;5,3;19,5;24,8;23,3;27,7
83739;;Palo;18,6;20,1;9,7;9,6;15,6;21,5;16,9;23,3
83740;;Palompon;20,8;25,9;8,6;8,0;17,9;23,8;22,5;29,3
83741;;Pastrana;28,5;32,6;8,4;8,7;24,6;32,4;27,9;37,2
83742;;San Isidro;32,7;33,1;8,9;9,8;27,9;37,5;27,8;38,4
83743;;San Miguel;33,2;32,3;7,6;9,5;29,1;37,4;27,3;37,4
83744;;Santa Fe;27,9;31,5;10,3;9,3;23,2;32,7;26,7;36,4
83745;;Tabango;30,8;39,2;10,4;9,8;25,6;36,1;32,9;45,6
83746;;Tabontabon;30,6;27,3;8,8;11,0;26,2;35,1;22,3;32,2
83748;;Tanauan;20,9;24,7;8,0;7,9;18,2;23,7;21,5;27,9
83749;;Tolosa;21,0;24,8;12,6;12,4;16,6;25,3;19,7;29,8
83750;;Tunga;18,2;20,7;17,4;15,6;13,0;23,5;15,4;26,1
83751;;Villaba;26,3;32,7;8,4;7,7;22,6;29,9;28,6;36,9
84801;Northern Samar;Allen;24,0;18,1;10,6;13,0;19,8;28,1;14,3;22,0
84802;;Biri;41,8;26,5;9,7;16,9;35,1;48,4;19,2;33,9
84803;;Bobon;34,6;22,5;8,8;10,8;29,6;39,6;18,5;26,5
84804;;Capul;37,4;17,9;10,3;17,7;31,1;43,7;12,7;23,1
84805;;Catarman;30,3;20,6;5,1;8,8;27,7;32,8;17,6;23,6
84806;;Catubig;44,1;26,4;5,3;8,5;40,3;48,0;22,8;30,1
84807;;Gamay;33,5;26,3;7,1;9,2;29,5;37,4;22,3;30,3
84808;;Laoang;39,8;24,3;4,8;6,9;36,7;42,9;21,6;27,1
84809;;Lapinig;37,7;26,0;8,7;13,5;32,3;43,1;20,3;31,8
84810;;Las Navas;50,1;29,5;3,8;7,9;46,9;53,3;25,6;33,3
84811;;Lavezares;34,1;24,7;7,1;11,0;30,1;38,1;20,2;29,1
84812;;Mapanas;42,5;29,1;7,9;12,7;37,0;48,1;23,0;35,1
84813;;Mondragon;39,5;30,9;8,6;9,0;34,0;45,1;26,3;35,4
84814;;Palapag;40,0;24,4;5,9;9,3;36,1;43,9;20,7;28,2
84815;;Pambujan;44,7;32,4;5,5;9,4;40,7;48,7;27,3;37,4
84816;;Rosario;33,0;26,3;10,0;13,7;27,5;38,4;20,4;32,2
84817;;San Antonio;26,8;19,5;13,0;18,0;21,1;32,6;13,7;25,3
84818;;San Isidro;32,6;33,1;9,1;9,8;27,7;37,4;27,8;38,4
84819;;San Jose;32,1;23,7;8,8;10,7;27,5;36,7;19,5;27,8
84820;;San Roque;44,1;29,6;7,4;11,6;38,8;49,4;23,9;35,2
84821;;San Vicente;37,3;25,2;11,1;17,2;30,5;44,1;18,1;32,4
84822;;Silvino Lobos;56,9;39,5;5,6;9,8;51,7;62,2;33,2;45,9
84823;;Victoria;33,6;24,6;9,1;10,9;28,6;38,6;20,2;29,0
84824;;Lope De Vega;47,9;35,0;7,3;9,5;42,1;53,6;29,5;40,5
86001;Samar (Western);Almagro;30,3;33,9;10,1;10,0;25,2;35,3;28,4;39,5
86002;;Basey;26,9;28,6;6,9;7,1;23,8;29,9;25,2;31,9
86003;;City of Calbayog;23,7;25,9;5,1;5,6;21,7;25,6;23,6;28,3
86004;;Calbiga;24,9;28,1;8,9;9,0;21,2;28,5;23,9;32,3
86005;;City of Catbalogan;19,0;20,5;9,1;9,3;16,2;21,8;17,3;23,6
86006;;Daram;41,2;38,8;6,0;7,3;37,1;45,2;34,2;43,4
86007;;Gandara;31,3;35,2;5,6;5,9;28,5;34,2;31,7;38,6
86008;;Hinabangan;28,3;27,0;10,1;11,7;23,6;33,0;21,8;32,2
86009;;Jiabong;25,7;26,2;8,7;9,5;22,0;29,3;22,1;30,3
86010;;Marabut;27,4;31,3;11,0;9,2;22,5;32,4;26,5;36,0
86011;;Matuguinao;39,8;42,6;8,5;9,4;34,2;45,4;36,0;49,1
86012;;Motiong;30,9;29,9;8,9;11,3;26,3;35,4;24,3;35,4
86013;;Pinabacdao;30,4;34,9;8,3;9,1;26,3;34,6;29,7;40,1
86014;;San Jose de Buan;38,8;38,6;10,7;12,6;31,9;45,6;30,6;46,6
86015;;San Sebastian;27,8;26,9;11,2;12,6;22,6;32,9;21,3;32,5
86016;;Santa Margarita;25,5;31,5;9,8;8,3;21,4;29,6;27,2;35,8
86017;;Santa Rita;34,4;36,6;6,5;7,8;30,7;38,1;31,9;41,3
86018;;Santo Nino;30,7;34,6;10,6;11,5;25,3;36,0;28,1;41,1
86019;;Talalora;37,2;36,0;11,1;12,0;30,4;43,9;28,9;43,1
86020;;Tarangnan;29,9;33,5;8,8;7,6;25,6;34,2;29,4;37,7
86021;;Villareal;32,6;33,9;6,5;8,1;29,1;36,1;29,4;38,4
86022;;Paranas (Wright);26,4;26,5;7,2;8,6;23,3;29,6;22,8;30,3
86023;;Zumarraga;38,9;34,3;8,2;8,4;33,6;44,1;29,5;39,0
86024;;Tagapul-an;31,6;32,5;11,2;13,1;25,8;37,4;25,5;39,5
86025;;San Jorge;29,6;32,2;7,0;7,9;26,2;33,0;28,0;36,4
86026;;Pagsanghan;29,2;30,2;10,8;10,5;24,0;34,4;25,0;35,4
86401;Southern Leyte;Anahawan;23,6;24,8;11,2;12,2;19,3;28,0;19,8;29,7
86402;;Bontoc;29,7;27,3;6,5;7,3;26,5;32,9;24,1;30,6
86403;;Hinunangan;25,2;21,9;7,2;9,1;22,2;28,2;18,7;25,2
86404;;Hinundayan;23,2;21,7;10,0;12,5;19,4;27,0;17,2;26,1
86405;;Libagon;28,1;26,3;11,1;13,0;23,0;33,3;20,7;32,0
86406;;Liloan;29,3;30,8;7,4;8,0;25,8;32,9;26,8;34,9
86407;;City of Maasin;20,5;20,0;6,2;7,5;18,4;22,6;17,5;22,5
86408;;Macrohon;23,2;21,8;9,1;10,4;19,7;26,6;18,1;25,6
86409;;Malitbog;29,8;29,9;5,8;7,3;27,0;32,7;26,4;33,5
86410;;Padre Burgos;24,0;23,0;10,8;13,0;19,7;28,2;18,1;27,9
86411;;Pintuyan;27,3;25,3;9,5;10,0;23,0;31,5;21,1;29,5
86412;;Saint Bernard;25,5;29,2;9,0;9,3;21,7;29,3;24,7;33,6
86413;;San Francisco;27,5;26,4;8,0;10,2;23,9;31,1;21,9;30,8
86414;;San Juan (Cabalian);24,5;24,9;9,2;9,8;20,8;28,2;20,9;28,9
86415;;San Ricardo;30,6;28,2;10,4;12,9;25,4;35,9;22,2;34,2
86416;;Silago;26,8;22,2;11,3;11,0;21,8;31,7;18,1;26,2
86417;;Sogod;27,2;24,7;7,1;7,5;24,1;30,4;21,6;27,7
86418;;Tomas Oppus;26,5;25,7;7,5;9,2;23,2;29,8;21,8;29,6
86419;;Limasawa;22,5;27,0;16,2;19,4;16,5;28,5;18,4;35,6
87801;Biliran;Almeria;16,8;21,6;14,5;8,2;12,8;20,8;18,6;24,5
87802;;Biliran;22,4;25,5;11,2;10,6;18,3;26,6;21,1;30,0
87803;;Cabucgayan;27,9;29,8;13,1;7,9;21,8;33,9;25,9;33,7
87804;;Caibiran;31,1;31,0;9,7;7,9;26,2;36,1;27,0;35,0
87805;;Culaba;28,8;30,1;9,2;8,5;24,4;33,1;25,9;34,3
87806;;Kawayan;27,0;24,3;9,4;8,1;22,9;31,2;21,1;27,5
87807;;Maripipi;20,4;28,9;14,2;10,4;15,7;25,2;23,9;33,8
87808;;Naval;22,9;20,7;9,8;7,0;19,2;26,6;18,3;23,1
;Region IX (Zamboanga Peninsula);;;;;;;;;
97201;Zamboanga del Norte;City of Dapitan;27,1;35,6;9,7;6,5;22,8;31,5;31,8;39,4
97202;;City of Dipolog;17,9;21,1;12,4;10,7;14,3;21,6;17,4;24,8
97203;;Katipunan;52,9;47,5;5,5;5,3;48,0;57,7;43,3;51,6
97204;;La Libertad;53,0;46,1;8,5;8,6;45,6;60,4;39,6;52,5
97205;;Labason;45,2;43,5;7,1;7,6;39,9;50,4;38,0;48,9
97206;;Liloy;44,4;44,8;5,9;5,0;40,1;48,8;41,1;48,5
97207;;Manukan;49,2;49,9;7,1;4,9;43,5;55,0;45,9;54,0
97208;;Mutia;46,8;47,4;9,2;8,2;39,7;53,9;41,0;53,7
97209;;Piñan;46,5;43,3;7,0;6,7;41,2;51,8;38,5;48,0
97210;;Polanco;42,4;36,5;5,9;6,4;38,3;46,6;32,6;40,3
97211;;Pres. Manuel A. Roxas;55,6;50,3;5,2;4,6;50,8;60,4;46,5;54,2
97212;;Rizal;39,5;43,4;7,2;6,1;34,9;44,2;39,0;47,7
97213;;Salug;49,4;51,3;6,2;5,9;44,3;54,4;46,3;56,3
97214;;Sergio Osmeña Sr.;59,2;60,8;4,3;4,5;55,0;63,4;56,4;65,3
97215;;Siayan;62,0;67,0;6,0;4,0;55,8;68,1;62,6;71,4
97216;;Sibuco;58,6;58,7;6,6;5,2;52,2;64,9;53,6;63,7
97217;;Sibutad;46,3;44,3;9,7;7,9;39,0;53,7;38,6;50,1
97218;;Sindangan;37,1;47,5;8,7;4,1;31,8;42,4;44,3;50,7
97219;;Siocon;51,4;47,3;5,7;5,1;46,5;56,2;43,3;51,3
97220;;Sirawai;57,6;62,7;8,4;5,6;49,6;65,6;56,9;68,4
97221;;Tampilisan;48,2;46,4;6,9;6,5;42,8;53,6;41,5;51,4
97222;;Jose Dalman (Ponot);56,5;57,7;6,4;5,8;50,5;62,5;52,1;63,2
97223;;Gutalac;59,7;57,4;5,3;4,5;54,5;64,8;53,1;61,6
97224;;Baliguian;52,6;63,7;7,7;5,3;45,9;59,2;58,2;69,2
97225;;Godod;59,3;58,2;7,0;5,1;52,5;66,1;53,3;63,1
97226;;Bacungan (Leon T. Postigo);55,8;53,8;6,8;6,7;49,5;62,0;47,9;59,7
97227;;Kalawit;56,5;54,8;8,4;7,1;48,7;64,3;48,3;61,2
97302;Zamboanga del Sur;Aurora;29,8;21,0;8,0;9,9;25,9;33,7;17,6;24,4
97303;;Bayog;37,9;29,8;8,1;7,1;32,8;42,9;26,3;33,3
97305;;Dimataling;36,6;30,1;10,6;11,9;30,2;42,9;24,2;36,0
97306;;Dinas;36,8;34,0;9,0;7,3;31,4;42,3;29,9;38,1
97307;;Dumalinao;32,8;22,7;7,6;10,2;28,7;36,9;18,9;26,5
97308;;Dumingag;39,8;31,7;6,6;6,1;35,4;44,1;28,5;34,9
97311;;Kumalarang;37,7;30,6;12,8;10,0;29,8;45,6;25,6;35,6
97312;;Labangan;32,4;24,2;8,9;7,1;27,7;37,1;21,3;27,0
97313;;Lapuyan;41,0;43,5;8,1;6,2;35,6;46,4;39,0;47,9
97315;;Mahayag;35,4;26,1;7,5;8,3;31,0;39,7;22,5;29,7
97317;;Margosatubig;32,3;30,8;15,9;9,3;23,8;40,8;26,1;35,5
97318;;Midsalip;45,3;41,1;6,1;7,0;40,8;49,9;36,4;45,8
97319;;Molave;18,6;18,3;14,7;9,8;14,1;23,1;15,3;21,2
97322;;City of Pagadian;14,1;13,4;13,2;11,8;11,0;17,1;10,8;16,0
97323;;Ramon Magsaysay;32,6;25,8;8,6;8,9;28,0;37,2;22,0;29,5
97324;;San Miguel;32,7;31,9;11,3;9,4;26,6;38,8;27,0;36,9
97325;;San Pablo;38,8;29,7;7,4;8,0;34,1;43,5;25,8;33,6
97327;;Tabina;37,9;30,8;10,6;11,8;31,3;44,5;24,8;36,7
97328;;Tambulig;32,3;24,6;8,9;9,1;27,6;37,1;20,9;28,3
97330;;Tukuran;33,4;23,1;10,9;11,3;27,4;39,3;18,8;27,4
97333;;Lakewood;39,1;35,2;11,8;9,1;31,5;46,8;30,0;40,5
97337;;Josefina;28,1;28,9;12,1;10,7;22,5;33,7;23,8;34,0
97338;;Pitogo;36,9;33,8;11,9;8,3;29,7;44,1;29,2;38,5
97340;;Sominot;38,4;35,5;9,4;8,2;32,5;44,3;30,7;40,3
97341;;Vincenzo A. Sagun;30,8;28,1;11,3;9,4;25,1;36,5;23,7;32,4
97343;;Guipos;31,6;27,2;11,0;10,8;25,9;37,4;22,4;32,1
97344;;Tigbao;39,5;30,0;9,7;11,1;33,2;45,8;24,5;35,5
98301;Zamboanga Sibugay;Alicia;37,3;34,4;8,6;8,3;32,1;42,6;29,7;39,1
98302;;Buug;25,3;24,6;11,7;8,1;20,5;30,2;21,3;27,8
98303;;Diplahan;28,9;28,2;11,7;9,1;23,3;34,5;24,0;32,5
98304;;Imelda;29,3;30,2;11,7;9,4;23,6;34,9;25,6;34,9
98305;;Ipil;22,3;18,3;11,3;11,4;18,2;26,4;14,9;21,8
98306;;Kabasalan;30,1;26,5;8,6;9,1;25,8;34,4;22,6;30,5
98307;;Mabuhay;42,9;40,8;9,7;8,3;36,1;49,8;35,3;46,4
98308;;Malangas;30,8;33,3;11,4;7,9;25,0;36,6;29,0;37,6
98309;;Naga;32,8;32,5;9,2;6,8;27,8;37,7;28,8;36,1
98310;;Olutanga;36,6;27,6;11,7;9,5;29,6;43,7;23,2;31,9
98311;;Payao;38,8;37,5;9,9;7,8;32,5;45,1;32,7;42,3
98312;;Roseller Lim;32,3;29,4;8,4;9,6;27,8;36,7;24,7;34,0
98313;;Siay;33,0;31,5;8,7;9,2;28,3;37,7;26,7;36,3
98314;;Talusan;42,3;39,4;12,2;8,9;33,8;50,8;33,7;45,2
98315;;Titay;33,5;28,8;8,8;9,3;28,7;38,4;24,4;33,2
98316;;Tungawan;36,3;37,0;9,5;6,9;30,6;42,0;32,8;41,2
;Region X (Northern Mindanao);;;;;;;;;
101301;Bukidnon;Baungon;34,7;39,0;9,5;9,5;29,2;40,1;32,9;45,1
101302;;Damulog;35,4;46,9;8,9;9,8;30,3;40,6;39,4;54,5
101303;;Dangcagan;27,6;29,8;11,7;13,3;22,3;33,0;23,3;36,3
101304;;Don Carlos;27,1;26,5;8,0;8,1;23,5;30,6;23,0;30,1
101305;;Impasug-ong;33,8;40,7;10,5;7,8;27,9;39,7;35,5;45,9
101306;;Kadingilan;33,6;34,4;9,3;7,1;28,5;38,8;30,4;38,4
101307;;Kalilangan;31,9;30,0;9,4;10,3;27,0;36,8;24,9;35,1
101308;;Kibawe;28,5;33,5;8,5;5,4;24,5;32,5;30,5;36,5
101309;;Kitaotao;35,6;37,6;7,2;5,2;31,4;39,8;34,4;40,8
101310;;Lantapan;33,9;38,1;9,0;8,5;28,9;38,9;32,8;43,5
101311;;Libona;27,7;33,1;11,8;8,7;22,4;33,1;28,4;37,9
101312;;City of Malaybalay;21,6;22,3;7,7;6,8;18,9;24,3;19,8;24,8
101313;;Malitbog;35,6;42,7;10,8;10,2;29,3;42,0;35,5;49,8
101314;;Manolo Fortich;23,1;25,2;8,8;11,3;19,8;26,4;20,5;29,9
101315;;Maramag;23,4;26,7;8,9;7,2;20,0;26,9;23,5;29,9
101316;;Pangantucan;31,7;31,9;9,3;9,5;26,9;36,6;26,9;36,9
101317;;Quezon;29,8;32,0;7,0;6,4;26,4;33,3;28,6;35,3
101318;;San Fernando;36,3;36,6;6,9;8,8;32,2;40,4;31,3;41,9
101319;;Sumilao;32,3;38,5;13,4;14,5;25,2;39,4;29,3;47,6
101320;;Talakag;43,4;39,4;5,1;6,8;39,7;47,1;35,0;43,8
101321;;City of Valencia;21,9;24,9;9,1;6,1;18,6;25,2;22,4;27,4
101322;;Cabanglasan;34,0;33,5;9,9;5,3;28,5;39,6;30,5;36,4
101801;Camiguin;Catarman;26,6;22,8;10,5;6,3;22,0;31,2;20,5;25,2
101802;;Guinsiliban;30,4;28,1;13,9;9,9;23,4;37,3;23,5;32,6
101803;;Mahinog;26,3;24,0;10,4;8,7;21,8;30,9;20,5;27,4
101804;;Mambajao;21,4;15,0;11,2;8,2;17,5;25,4;13,0;17,0
101805;;Sagay;32,7;31,9;10,5;6,3;27,0;38,4;28,6;35,3
103501;Lanao del Norte;Bacolod;20,4;26,4;12,1;12,2;16,4;24,5;21,1;31,7
103502;;Baloi;29,1;37,5;8,7;8,9;25,0;33,3;32,1;43,0
103503;;Baroy;17,1;23,4;12,0;8,7;13,7;20,5;20,1;26,8
103505;;Kapatagan;17,8;29,7;11,3;4,9;14,5;21,1;27,3;32,1
103506;;Sultan Naga Dimaporo;27,7;40,3;7,5;7,3;24,3;31,1;35,4;45,1
103507;;Kauswagan;23,2;26,4;12,4;8,8;18,5;28,0;22,6;30,3
103508;;Kolambugan;18,6;25,6;9,5;7,6;15,7;21,5;22,4;28,8
103509;;Lala;18,5;27,4;10,6;7,3;15,3;21,8;24,1;30,6
103510;;Linamon;20,5;30,1;13,0;11,2;16,1;24,9;24,6;35,6
103511;;Magsaysay;31,9;48,8;8,0;5,7;27,7;36,1;44,2;53,3
103512;;Maigo;18,8;28,6;12,7;8,7;14,8;22,7;24,5;32,6
103513;;Matungao;41,0;41,8;10,0;8,2;34,2;47,7;36,2;47,4
103514;;Munai;36,3;47,6;7,4;5,4;31,9;40,8;43,3;51,8
103515;;Nunungan;44,2;57,4;5,9;4,9;39,9;48,5;52,8;62,1
103516;;Pantao Ragat;42,5;45,8;7,2;4,7;37,5;47,6;42,3;49,3
103517;;Poona Piagapo;51,4;54,0;5,6;5,4;46,7;56,1;49,2;58,8
103518;;Salvador;29,1;36,9;10,1;7,0;24,3;34,0;32,6;41,1
103519;;Sapad;25,1;40,5;12,4;6,3;20,0;30,2;36,3;44,7
103520;;Tagoloan;36,5;55,9;14,0;4,8;28,1;44,8;51,5;60,3
103521;;Tangcal;44,1;56,3;8,9;4,3;37,6;50,6;52,4;60,3
103522;;Tubad;18,1;28,4;11,8;7,4;14,6;21,6;25,0;31,9
103523;;Pantar;36,7;45,2;7,7;8,6;32,1;41,4;38,8;51,6
104201;Misamis Occidental;Aloran;23,5;28,1;6,5;5,8;21,0;26,0;25,4;30,8
