F641;"Municipal and City Level Small Area Poverty Estimates;  2018 and 2021";;;;;;;;;
PSGC;Region/Province;Municipality/City;Poverty Incidence;;Coefficient of Variation;;90% Confidence Interval;;;
;;;;;;;;;;
;;;2018;2021;2018;2021;2018;;2021;
ID;;;;;;;Lower Limit;Upper Limit;Lower Limit;Upper Limit
;National Capital Region (NCR);;;;;;;;;
15522;;Lingayen;8,6;15,6;15,7;9,8;6,4;10,8;13,1;18,2
15523;;Mabini;12,5;23,3;18,2;9,5;8,7;16,2;19,6;27,0
15524;;Malasiqui;13,3;19,3;8,6;6,4;11,4;15,2;17,3;21,4
15525;;Manaoag;9,4;18,1;17,5;9,7;6,7;12,1;15,2;21,0
15526;;Mangaldan;9,0;14,1;15,5;9,2;6,7;11,3;12,0;16,3
15527;;Mangatarem;14,6;21,9;8,9;5,7;12,5;16,8;19,8;23,9
15528;;Mapandan;12,2;14,3;17,4;13,7;8,7;15,7;11,1;17,5
15529;;Natividad;11,4;16,1;15,9;11,5;8,5;14,4;13,0;19,1
15530;;Pozorrubio;7,7;13,2;17,5;9,8;5,5;9,9;11,1;15,3
15531;;Rosales;11,8;16,0;12,3;9,6;9,5;14,2;13,5;18,5
15532;;City of San Carlos;12,7;17,9;9,0;6,3;10,9;14,6;16,1;19,8
15533;;San Fabian;11,5;17,2;12,2;9,0;9,2;13,8;14,6;19,8
15534;;San Jacinto;13,3;16,8;13,5;10,1;10,4;16,3;14,0;19,6
15535;;San Miguel;8,8;17,2;24,7;12,1;5,2;12,3;13,8;20,6
15536;;San Nicolas;12,9;15,7;13,5;10,0;10,0;15,7;13,1;18,3
15537;;San Quintin;11,7;18,6;16,3;10,5;8,6;14,8;15,4;21,9
15538;;Santa Barbara;10,0;16,8;16,3;10,1;7,3;12,7;14,0;19,6
15539;;Santa Maria;11,1;14,5;15,3;10,1;8,3;13,9;12,1;16,9
15540;;Santo Tomas;10,7;15,3;24,8;19,3;6,3;15,1;10,5;20,2
15541;;Sison;12,3;16,0;12,7;10,3;9,8;14,9;13,3;18,7
15542;;Sual;10,1;22,7;20,0;11,0;6,8;13,4;18,6;26,8
15543;;Tayug;8,1;14,4;18,2;9,9;5,7;10,5;12,0;16,7
15544;;Umingan;12,8;19,0;9,6;6,9;10,8;14,8;16,8;21,1
15545;;Urbiztondo;18,4;24,1;13,9;9,2;14,2;22,6;20,4;27,7
15546;;City of Urdaneta;8,4;16,3;17,3;8,8;6,0;10,8;13,9;18,7
15547;;Villasis;11,8;17,8;16,9;11,0;8,5;15,0;14,6;21,0
15548;;Laoac;11,2;16,8;14,3;9,5;8,5;13,8;14,1;19,4
;Region II (Cagayan Valley);;;;;;;;;
20901;Batanes;Basco;7,0;4,4;27,3;26,6;3,9;10,2;2,4;6,3
20902;;Itbayat;30,9;12,0;15,0;20,4;23,3;38,5;8,0;16,0
20903;;Ivana;7,0;5,7;43,0;45,6;2,1;12,0;1,4;9,9
20904;;Mahatao;17,8;7,8;25,1;33,8;10,5;25,2;3,5;12,2
20905;;Sabtang;21,7;6,6;17,3;39,5;15,5;27,9;2,3;10,9
20906;;Uyugan;13,2;5,9;29,4;50,2;6,8;19,6;1,0;10,8
21501;Cagayan;Abulug;14,8;10,7;14,4;14,6;11,3;18,3;8,2;13,3
21502;;Alcala;14,7;12,6;12,6;11,7;11,6;17,7;10,2;15,0
21503;;Allacapan;11,5;13,3;14,0;12,9;8,8;14,1;10,5;16,2
21504;;Amulung;15,5;15,5;11,5;10,2;12,5;18,4;12,9;18,1
21505;;Aparri;13,3;14,4;12,8;13,8;10,5;16,1;11,2;17,7
21506;;Baggao;13,5;13,5;12,5;10,8;10,7;16,2;11,1;15,8
21507;;Ballesteros;13,0;9,7;16,9;11,9;9,4;16,7;7,8;11,6
21508;;Buguey;15,3;11,8;12,8;13,3;12,1;18,5;9,2;14,3
21509;;Calayan;42,2;22,6;10,8;18,5;34,7;49,7;15,7;29,4
21510;;Camalaniugan;13,5;10,0;13,9;16,4;10,4;16,6;7,3;12,7
21511;;Claveria;11,1;6,5;14,4;15,9;8,5;13,8;4,8;8,2
21512;;Enrile;10,2;11,1;16,7;15,2;7,4;13,0;8,3;13,9
21513;;Gattaran;16,7;13,6;10,6;11,4;13,8;19,6;11,1;16,2
21514;;Gonzaga;12,2;10,6;13,5;13,2;9,5;14,9;8,3;12,9
21515;;Iguig;11,1;10,8;15,7;13,8;8,2;14,0;8,3;13,2
21516;;Lal-lo;13,5;10,5;11,4;12,8;11,0;16,0;8,3;12,7
21517;;Lasam;14,3;11,2;12,3;11,7;11,4;17,2;9,0;13,3
21518;;Pamplona;16,4;12,0;14,2;15,9;12,6;20,2;8,8;15,1
21519;;Peñablanca;27,7;10,2;13,2;14,0;21,7;33,7;7,8;12,5
21520;;Piat;12,9;9,9;17,8;14,0;9,1;16,6;7,6;12,2
21521;;Rizal;32,2;20,0;11,1;14,1;26,3;38,0;15,3;24,6
21522;;Sanchez-Mira;8,3;8,1;19,0;17,2;5,7;10,9;5,8;10,4
21523;;Santa Ana;13,9;13,2;16,9;14,8;10,0;17,7;10,0;16,4
21524;;Santa Praxedes;12,2;7,9;24,1;25,1;7,4;17,1;4,7;11,2
21525;;Santa Teresita;11,8;9,7;18,0;19,6;8,3;15,3;6,6;12,8
21526;;Santo Niño;16,7;15,5;12,9;12,8;13,2;20,3;12,3;18,8
21527;;Solana;10,7;12,2;14,7;12,1;8,1;13,3;9,8;14,7
21528;;Tuao;11,8;10,7;12,7;13,8;9,3;14,2;8,3;13,2
21529;;Tuguegarao City;4,2;4,9;17,2;13,5;3,0;5,4;3,8;5,9
23101;Isabela;Alicia;12,6;14,1;11,7;10,5;10,2;15,0;11,6;16,5
23102;;Angadanan;14,3;15,6;9,4;9,9;12,1;16,5;13,1;18,2
23103;;Aurora;11,2;13,2;13,4;12,6;8,8;13,7;10,5;15,9
23104;;Benito Soliven;19,7;20,5;11,9;11,3;15,9;23,6;16,7;24,3
23105;;Burgos;18,2;14,0;17,4;20,3;13,0;23,5;9,4;18,7
23106;;Cabagan;14,7;16,4;10,2;11,1;12,2;17,2;13,4;19,4
23107;;Cabatuan;11,0;11,1;14,8;12,9;8,3;13,7;8,7;13,4
23108;;City of Cauayan;12,6;14,4;11,2;8,5;10,3;14,9;12,4;16,4
23109;;Cordon;18,9;13,6;11,8;12,8;15,3;22,6;10,7;16,5
23110;;Dinapigue;44,8;18,9;17,6;26,4;31,9;57,8;10,7;27,2
23111;;Divilacan;47,6;24,6;10,9;15,1;39,1;56,1;18,5;30,7
23112;;Echague;15,0;13,4;9,3;8,6;12,7;17,3;11,5;15,3
23113;;Gamu;15,3;13,9;17,8;15,8;10,8;19,7;10,3;17,5
23114;;City of Ilagan;13,9;14,0;9,5;8,8;11,7;16,0;12,0;16,0
23115;;Jones;13,3;12,9;13,3;11,9;10,4;16,3;10,4;15,4
23116;;Luna;12,7;10,5;16,4;15,0;9,3;16,1;7,9;13,1
23117;;Maconacon;39,0;20,8;13,6;15,1;30,3;47,8;15,7;26,0
23118;;Delfin Albano;17,0;11,9;13,3;13,3;13,3;20,7;9,3;14,5
23119;;Mallig;16,3;15,3;13,3;13,9;12,8;19,9;11,8;18,8
23120;;Naguilian;14,2;14,6;13,5;13,0;11,0;17,3;11,5;17,7
23121;;Palanan;31,3;29,6;9,8;14,6;26,3;36,3;22,5;36,7
23122;;Quezon;22,7;17,4;14,5;13,9;17,3;28,2;13,4;21,3
23123;;Quirino;15,6;13,0;16,5;15,2;11,4;19,8;9,7;16,2
23124;;Ramon;13,4;15,0;13,7;14,9;10,4;16,4;11,3;18,6
23125;;Reina Mercedes;15,0;13,3;14,8;13,9;11,3;18,6;10,2;16,3
23126;;Roxas;13,5;13,2;15,1;13,7;10,1;16,8;10,3;16,2
23127;;San Agustin;12,4;11,8;14,8;16,3;9,4;15,4;8,7;15,0
23128;;San Guillermo;27,2;22,1;12,7;11,7;21,5;32,9;17,8;26,3
23129;;San Isidro;12,0;13,5;19,0;18,1;8,2;15,7;9,5;17,6
23130;;San Manuel;13,7;14,8;16,6;12,9;10,0;17,4;11,7;18,0
23131;;San Mariano;23,1;25,0;9,8;10,9;19,4;26,8;20,5;29,5
23132;;San Mateo;10,7;11,6;13,7;12,7;8,3;13,1;9,1;14,0
23133;;San Pablo;18,8;19,5;16,2;13,0;13,8;23,8;15,3;23,6
23134;;Santa Maria;21,8;18,4;14,0;11,2;16,8;26,8;15,0;21,7
23135;;City of Santiago;12,3;12,8;12,4;9,7;9,8;14,9;10,8;14,8
23136;;Santo Tomas;22,7;17,4;12,6;12,8;18,0;27,4;13,7;21,0
23137;;Tumauini;21,2;16,8;9,6;9,7;17,8;24,5;14,1;19,5
25001;Nueva Vizcaya;Ambaguio;53,5;20,0;11,1;15,9;43,7;63,2;14,7;25,2
25002;;Aritao;15,8;11,1;8,8;11,8;13,5;18,1;9,0;13,3
25003;;Bagabag;8,7;11,1;18,7;11,6;6,0;11,3;9,0;13,2
25004;;Bambang;8,2;7,7;16,2;13,2;6,0;10,4;6,0;9,4
25005;;Bayombong;6,8;6,2;18,6;17,6;4,7;8,9;4,4;8,0
25006;;Diadi;14,3;13,0;14,9;14,5;10,8;17,9;9,9;16,1
25007;;Dupax del Norte;14,2;10,0;17,8;13,9;10,1;18,4;7,8;12,3
25008;;Dupax del Sur;16,0;11,0;15,0;14,4;12,0;19,9;8,4;13,6
25009;;Kasibu;21,7;19,7;12,2;10,9;17,3;26,0;16,1;23,2
25010;;Kayapa;29,2;20,9;12,6;11,9;23,1;35,2;16,8;25,0
25011;;Quezon;14,8;10,8;17,3;20,5;10,6;19,0;7,2;14,4
25012;;Santa Fe;17,7;16,2;14,6;12,7;13,4;21,9;12,8;19,6
25013;;Solano;7,0;6,4;19,7;16,4;4,7;9,2;4,7;8,1
25014;;Villaverde;12,5;7,2;18,9;23,2;8,6;16,4;4,5;10,0
25015;;Alfonso Castaneda;22,9;15,1;18,9;29,1;15,8;30,1;7,9;22,4
25701;Quirino;Aglipay;11,6;11,6;13,3;11,4;9,1;14,1;9,4;13,8
25702;;Cabarroguis;9,3;7,4;17,8;16,4;6,6;12,1;5,4;9,4
25703;;Diffun;10,6;10,1;13,9;10,2;8,2;13,1;8,4;11,7
25704;;Maddela;9,3;8,8;14,1;10,8;7,1;11,4;7,2;10,4
25705;;Saguday;9,9;6,9;23,6;22,3;6,1;13,8;4,4;9,4
25706;;Nagtipunan;22,3;16,7;16,9;12,7;16,1;28,5;13,2;20,2
;Region III (Central Luzon);;;;;;;;;
30801;Bataan;Abucay;5,3;7,8;21,5;13,0;3,4;7,2;6,2;9,5
30802;;Bagac;6,1;12,5;17,8;10,4;4,3;7,9;10,3;14,6
30803;;City of Balanga;3,4;7,0;17,7;15,4;2,4;4,4;5,2;8,8
